"name","ACERECODE","super_opeid","campus_id","type","tier_name","iclevel","region","state"
"missouri southern state university",1426,2488,416,"Public","Selective public","Four-year","Midwest","MO"
"missouri state university-springfield",1586,2503,417,"Public","Selective public","Four-year","Midwest","MO"
"missouri valley college",1466,2489,418,"Private non-profit","Selective private","Four-year","Midwest","MO"
"monmouth college",1131,1725,420,"Private non-profit","Selective private","Four-year","Midwest","IL"
"monmouth university",773,2616,421,"Private non-profit","Selective private","Four-year","Northeast","NJ"
"montclair state university",523,2617,424,"Public","Selective public","Four-year","Northeast","NJ"
"moravian college and moravian theological seminary",293,3301,425,"Private non-profit","Selective private","Four-year","Northeast","PA"
"morehouse college",1677,1582,427,"Private non-profit","Selective private","Four-year","South","GA"
"morningside college",1580,1879,428,"Private non-profit","Selective private","Four-year","Midwest","IA"
"mount mercy university",1324,1880,433,"Private non-profit","Selective private","Four-year","Midwest","IA"
"mount saint mary college",579,2778,434,"Private non-profit","Selective private","Four-year","Northeast","NY"
"mount st mary's university",401,2086,435,"Private non-profit","Selective private","Four-year","South","MD"
"mount st mary's college",2894,1243,436,"Private non-profit","Selective private","Four-year","West","CA"
"mount vernon nazarene university",1138,7085,438,"Private non-profit","Selective private","Four-year","Midwest","OH"
"neumann university",271,3988,443,"Private non-profit","Selective private","Four-year","Northeast","PA"
"niagara university",583,2788,451,"Private non-profit","Selective private","Four-year","Northeast","NY"
"north carolina a & t state university",1931,2905,452,"Public","Selective public","Four-year","South","NC"
"north central college",1143,1734,455,"Private non-profit","Selective private","Four-year","Midwest","IL"
"north central university",1479,2369,456,"Private non-profit","Selective private","Four-year","Midwest","MN"
"north dakota state university-main campus",1382,2997,457,"Public","Selective public","Four-year","Midwest","ND"
"north park university",873,1735,458,"Private non-profit","Selective private","Four-year","Midwest","IL"
"northeastern state university",2619,3161,460,"Public","Selective public","Four-year","South","OK"
"northeastern university",23,2199,461,"Private non-profit","Highly selective private","Four-year","Northeast","MA"
"northern illinois university",935,1737,462,"Public","Selective public","Four-year","Midwest","IL"
"northwest nazarene university",2718,1624,465,"Private non-profit","Selective private","Four-year","West","ID"
"northwest university",2864,3783,466,"Private non-profit","Selective private","Four-year","West","WA"
"northwestern college-orange city",1514,1883,467,"Private non-profit","Selective private","Four-year","Midwest","IA"
"northwestern university",974,1739,468,"Private non-profit","Other elite schools (public and private)","Four-year","Midwest","IL"
"nyack college",586,2790,470,"Private non-profit","Selective private","Four-year","Northeast","NY"
"occidental college",2890,1249,474,"Private non-profit","Other elite schools (public and private)","Four-year","West","CA"
"ohio northern university",799,3089,477,"Private non-profit","Selective private","Four-year","Midwest","OH"
"oklahoma baptist university",2611,3164,480,"Private non-profit","Selective private","Four-year","South","OK"
"oklahoma state university-main campus",2617,3170,483,"Public","Selective public","Four-year","South","OK"
"oral roberts university",2633,3985,484,"Private non-profit","Selective private","Four-year","South","OK"
"oregon institute of technology",2865,3211,485,"Public","Selective public","Four-year","West","OR"
"oregon state university",2798,3210,486,"Public","Selective public","Four-year","West","OR"
"otterbein university",1265,3110,487,"Private non-profit","Selective private","Four-year","Midwest","OH"
"ouachita baptist university",1655,1102,488,"Private non-profit","Selective private","Four-year","South","AR"
"pacific university",2820,3212,493,"Private non-profit","Selective private","Four-year","West","OR"
"palm beach atlantic university-west palm beach",2377,8849,494,"Private non-profit","Selective private","Four-year","South","FL"
"pennsylvania college of technology",786,3395,495,"Public","Selective public","Four-year","Northeast","PA"
"pepperdine university",2903,10149,496,"Private non-profit","Highly selective private","Four-year","West","CA"
"point loma nazarene university",3008,1262,502,"Private non-profit","Selective private","Four-year","West","CA"
"presbyterian college",1793,3445,506,"Private non-profit","Selective private","Four-year","South","SC"
"purdue university-main campus",1264,1825,509,"Public","Selective public","Four-year","Midwest","IN"
"quinnipiac university",100,1402,511,"Private non-profit","Highly selective private","Four-year","Northeast","CT"
"regis college",234,2206,516,"Private non-profit","Selective private","Four-year","Northeast","MA"
"regis university",2683,1363,517,"Private non-profit","Selective private","Four-year","West","CO"
"rensselaer polytechnic institute",734,2803,519,"Private non-profit","Other elite schools (public and private)","Four-year","Northeast","NY"
"rider university",490,2628,524,"Private non-profit","Selective private","Four-year","Northeast","NJ"
"ripon college",1193,3884,525,"Private non-profit","Selective private","Four-year","Midwest","WI"
"roberts wesleyan college",671,2805,527,"Private non-profit","Selective private","Four-year","Northeast","NY"
"rochester institute of technology",673,2806,528,"Private non-profit","Selective private","Four-year","Northeast","NY"
"rollins college",2403,1515,533,"Private non-profit","Highly selective private","Four-year","South","FL"
"sacred heart university",87,1403,537,"Private non-profit","Selective private","Four-year","Northeast","CT"
"saint ambrose university",1349,1889,540,"Private non-profit","Selective private","Four-year","Midwest","IA"
"saint anselm college",125,2587,541,"Private non-profit","Selective private","Four-year","Northeast","NH"
"st. francis college",318,2820,542,"Private non-profit","Selective private","Four-year","Northeast","NY"
"st john's university-new york",462,2823,545,"Private non-profit","Selective private","Four-year","Northeast","NY"
"saint joseph's university",617,3367,548,"Private non-profit","Selective private","Four-year","Northeast","PA"
"saint leo university",2276,1526,549,"Private non-profit","Selective private","Four-year","South","FL"
"saint mary's college",1154,1836,552,"Private non-profit","Selective private","Four-year","Midwest","IN"
"saint marys college of california",2914,1302,553,"Private non-profit","Selective private","Four-year","West","CA"
"saint mary's university of minnesota",1625,2380,554,"Private non-profit","Selective private","Four-year","Midwest","MN"
"saint michael's college",76,3694,555,"Private non-profit","Selective private","Four-year","Northeast","VT"
"saint norbert college",936,3892,556,"Private non-profit","Selective private","Four-year","Midwest","WI"
"st olaf college",1504,2382,557,"Private non-profit","Highly selective private","Four-year","Midwest","MN"
"salem state university",195,2188,561,"Public","Selective public","Four-year","Northeast","MA"
"salve regina university",154,3411,562,"Private non-profit","Selective private","Four-year","Northeast","RI"
"samford university",1717,1036,564,"Private non-profit","Selective private","Four-year","South","AL"
"santa clara university",3051,1326,566,"Private non-profit","Highly selective private","Four-year","West","CA"
"sarah lawrence college",313,2813,567,"Private non-profit","Highly selective private","Four-year","Northeast","NY"
"seattle pacific university",3067,3788,571,"Private non-profit","Selective private","Four-year","West","WA"
"seattle university",3066,3790,572,"Private non-profit","Selective private","Four-year","West","WA"
"seton hall university",708,2632,573,"Private non-profit","Selective private","Four-year","Northeast","NJ"
"simpson college",1418,1887,580,"Private non-profit","Selective private","Four-year","Midwest","IA"
"simpson university",2976,1291,581,"Private non-profit","Selective private","Four-year","West","CA"
"slippery rock university of pennsylvania",706,3327,583,"Public","Selective public","Four-year","Northeast","PA"
"sonoma state university",2990,1156,585,"Public","Selective public","Four-year","West","CA"
"southeast missouri state university",1322,2501,586,"Public","Selective public","Four-year","Midwest","MO"
"southern illinois university edwardsville",965,1759,589,"Public","Selective public","Four-year","Midwest","IL"
"southern methodist university",2459,3613,590,"Private non-profit","Highly selective private","Four-year","South","TX"
"southern nazarene university",2436,3149,591,"Private non-profit","Selective private","Four-year","South","OK"
"southern wesleyan university",1753,3422,594,"Private non-profit","Selective private","Four-year","South","SC"
"spelman college",1678,1594,597,"Private non-profit","Selective private","Four-year","South","GA"
"spring arbor university",1222,2318,598,"Private non-profit","Selective private","Four-year","Midwest","MI"
"springfield college",202,2211,600,"Private non-profit","Selective private","Four-year","Northeast","MA"
"saint bonaventure university",682,2817,601,"Private non-profit","Selective private","Four-year","Northeast","NY"
"st catherine university",1561,2342,602,"Private non-profit","Selective private","Four-year","Midwest","MN"
"stanford university",3082,1305,605,"Private non-profit","Ivy Plus","Four-year","West","CA"
"university at buffalo",339,2837,606,"Public","Selective public","Four-year","Northeast","NY"
"stony brook university",715,2838,608,"Public","Highly selective public","Four-year","Northeast","NY"
"suny college at potsdam",651,2850,610,"Public","Selective public","Four-year","Northeast","NY"
"stephens college",1337,2512,612,"Private non-profit","Selective private","Four-year","Midwest","MO"
"sterling college-kansas",1594,1945,613,"Private non-profit","Selective private","Four-year","Midwest","KS"
"suny at geneseo",419,2845,621,"Public","Highly selective public","Four-year","Northeast","NY"
"sweet briar college",2328,3742,628,"Private non-profit","Selective private","Four-year","South","VA"
"tabor college",1412,1946,629,"Private non-profit","Selective private","Four-year","Midwest","KS"
"texas christian university",2487,3636,636,"Private non-profit","Highly selective private","Four-year","South","TX"
"texas tech university",2541,3644,638,"Public","Selective public","Four-year","South","TX"
"transylvania university",2035,1987,642,"Private non-profit","Selective private","Four-year","South","KY"
"trinity christian college",1169,1771,643,"Private non-profit","Selective private","Four-year","Midwest","IL"
"trinity international university-illinois",942,1772,645,"Private non-profit","Selective private","Four-year","Midwest","IL"
"trinity university",2598,3647,646,"Private non-profit","Highly selective private","Four-year","South","TX"
"troy university",2349,50,647,"Public","Selective public","Four-year","South","AL"
"tuskegee university",2356,1050,650,"Private non-profit","Selective private","Four-year","South","AL"
"union university",1981,3528,652,"Private non-profit","Selective private","Four-year","South","TN"
"university of akron main campus",803,3123,653,"Public","Selective public","Four-year","Midwest","OH"
"the university of alabama",2352,1051,654,"Public","Selective public","Four-year","South","AL"
"university of alabama at birmingham",1715,1052,655,"Public","Selective public","Four-year","South","AL"
"university of arkansas main campus",1875,1108,657,"Public","Selective public","Four-year","South","AR"
"university of arkansas at little rock",2039,1101,658,"Public","Selective public","Four-year","South","AR"
"university of bridgeport",48,1416,660,"Private non-profit","Selective private","Four-year","Northeast","CT"
"university of california-los angeles",2885,1315,663,"Public","Other elite schools (public and private)","Four-year","West","CA"
"university of california-santa barbara",3047,1320,666,"Public","Highly selective public","Four-year","West","CA"
"university of central oklahoma",2477,3152,671,"Public","Selective public","Four-year","South","OK"
"university of charleston",1759,3818,672,"Private non-profit","Selective private","Four-year","South","WV"
"university of evansville",978,1795,679,"Private non-profit","Selective private","Four-year","Midwest","IN"
"university of georgia",1665,1598,681,"Public","Highly selective public","Four-year","South","GA"
"university of idaho",2717,1626,684,"Public","Selective public","Four-year","West","ID"
"university of michigan-ann arbor",811,2325,692,"Public","Highly selective public","Four-year","Midwest","MI"
"the university of montana-western",2686,2537,697,"Public","Selective public","Four-year","West","MT"
"university of nevada-reno",2981,2568,700,"Public","Selective public","Four-year","West","NV"
"university of new hampshire-main campus",85,2589,701,"Public","Selective public","Four-year","Northeast","NH"
"university of new mexico-main campus",2412,2663,702,"Public","Selective public","Four-year","West","NM"
"university of north carolina at chapel hill",1756,2974,703,"Public","Other elite schools (public and private)","Four-year","South","NC"
"university of north dakota",1398,3005,706,"Public","Selective public","Four-year","Midwest","ND"
"university of north florida",1991,9841,707,"Public","Selective public","Four-year","South","FL"
"north georgia college & state university",1825,1585,708,"Public","Selective public","Four-year","South","GA"
"northwestern college-saint paul",1564,2371,710,"Private non-profit","Selective private","Four-year","Midwest","MN"
"university of notre dame",1217,1840,711,"Private non-profit","Other elite schools (public and private)","Four-year","Midwest","IN"
"university of portland",2964,3224,714,"Private non-profit","Selective private","Four-year","West","OR"
"university of redlands",2978,1322,716,"Private non-profit","Selective private","Four-year","West","CA"
"university of richmond",2254,3744,718,"Private non-profit","Other elite schools (public and private)","Four-year","South","VA"
"university of rochester",670,2894,719,"Private non-profit","Other elite schools (public and private)","Four-year","Northeast","NY"
"university of saint joseph ct (formerly saint joseph college)",231,1409,721,"Private non-profit","Selective private","Four-year","Northeast","CT"
"university of san diego",3006,10395,723,"Private non-profit","Highly selective private","Four-year","West","CA"
"university of science and arts of oklahoma",2448,3167,725,"Public","Selective public","Four-year","South","OK"
"university of scranton",697,3384,726,"Private non-profit","Selective private","Four-year","Northeast","PA"
"university of sioux falls",1582,3469,727,"Private non-profit","Selective private","Four-year","Midwest","SD"
"university of southern california",2887,1328,728,"Private non-profit","Other elite schools (public and private)","Four-year","West","CA"
"university of the district of columbia",760,1441,734,"Public","Selective public","Four-year","South","DC"
"university of virginia-main campus",1770,3745,742,"Public","Other elite schools (public and private)","Four-year","South","VA"
"ursinus college",373,3385,745,"Private non-profit","Selective private","Four-year","Northeast","PA"
"vanderbilt university",2157,3535,751,"Private non-profit","Other elite schools (public and private)","Four-year","South","TN"
"vanguard university of southern california",2799,1293,752,"Private non-profit","Selective private","Four-year","West","CA"
"villanova university",747,3388,754,"Private non-profit","Other elite schools (public and private)","Four-year","Northeast","PA"
"virginia polytechnic institute and state university",1725,3754,756,"Public","Highly selective public","Four-year","South","VA"
"virginia state university",2225,3764,757,"Public","Selective public","Four-year","South","VA"
"virginia wesleyan college",2189,3767,758,"Private non-profit","Selective private","Four-year","South","VA"
"viterbo university",1074,3911,759,"Private non-profit","Selective private","Four-year","Midwest","WI"
"wabash college",927,1844,760,"Private non-profit","Selective private","Four-year","Midwest","IN"
"wake forest university",2396,2978,762,"Private non-profit","Other elite schools (public and private)","Four-year","South","NC"
"warren wilson college",2327,2979,764,"Private non-profit","Selective private","Four-year","South","NC"
"wartburg college",1609,1896,765,"Private non-profit","Selective private","Four-year","Midwest","IA"
"washington and lee university",2034,3768,768,"Private non-profit","Other elite schools (public and private)","Four-year","South","VA"
"washington college",365,2108,769,"Private non-profit","Selective private","Four-year","South","MD"
"wayland baptist university",2582,3663,772,"Private non-profit","Selective private","Four-year","South","TX"
"waynesburg university",771,3391,775,"Private non-profit","Selective private","Four-year","Northeast","PA"
"webster university",1548,2521,776,"Private non-profit","Selective private","Four-year","Midwest","MO"
"wells college",273,2901,778,"Private non-profit","Selective private","Four-year","Northeast","NY"
"western connecticut state university",80,1380,785,"Public","Selective public","Four-year","Northeast","CT"
"western new england university",203,2226,787,"Private non-profit","Selective private","Four-year","Northeast","MA"
"western state college of colorado",2698,1372,788,"Public","Selective public","Four-year","West","CO"
"westminster college-fulton",1396,2523,789,"Private non-profit","Selective private","Four-year","Midwest","MO"
"westmont college",3048,1341,792,"Private non-profit","Highly selective private","Four-year","West","CA"
"wheaton college-norton",166,2227,793,"Private non-profit","Highly selective private","Four-year","Northeast","MA"
"wheeling jesuit university",2380,3831,795,"Private non-profit","Selective private","Four-year","South","WV"
"wheelock college",28,2228,796,"Private non-profit","Selective private","Four-year","Northeast","MA"
"whitman college",3107,3803,797,"Private non-profit","Other elite schools (public and private)","Four-year","West","WA"
"whitworth university",3079,3804,799,"Private non-profit","Selective private","Four-year","West","WA"
"wilkes university",784,3394,800,"Private non-profit","Selective private","Four-year","Northeast","PA"
"willamette university",2998,3227,801,"Private non-profit","Selective private","Four-year","West","OR"
"william woods university",1395,2525,804,"Private non-profit","Selective private","Four-year","Midwest","MO"
"wingate university",2394,2985,808,"Private non-profit","Selective private","Four-year","South","NC"
"wisconsin lutheran college",1127,21366,810,"Private non-profit","Selective private","Four-year","Midwest","WI"
"wittenberg university",1224,3143,811,"Private non-profit","Selective private","Four-year","Midwest","OH"
"woodbury university",2776,1343,813,"Private non-profit","Selective private","Four-year","West","CA"
"worcester polytechnic institute",243,2233,814,"Private non-profit","Highly selective private","Four-year","Northeast","MA"
"worcester state university",240,2190,815,"Public","Selective public","Four-year","Northeast","MA"
"xavier university-cincinnati",897,3144,816,"Private non-profit","Selective private","Four-year","Midwest","OH"
"xavier university of louisiana",2182,2032,817,"Private non-profit","Selective private","Four-year","South","LA"
